"","#0F4A9C","#53f1fc","#635547","#67000d","#7F6874","#8870ad","#90BF75","#9e6762","#C594BF","#DABE99","#DFCDE4","#EF5A9D","#cc7818","#d6616b","#ffad1e","#ffd854"
"0610005C13Rik",0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0
"0610007P14Rik",16,8,95,15,17,21,63,9,141,60,32,32,31,15,1,63
"0610009B22Rik",21,9,78,1,12,31,79,17,161,75,23,34,28,3,2,36
"0610009L18Rik",0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0
"0610009O20Rik",9,3,64,2,6,10,49,5,78,38,24,17,24,7,1,18
"0610010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010B08Rik;Gm4724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010F05Rik",7,2,34,2,5,6,22,3,30,11,6,16,12,6,0,9
"0610010K14Rik;Rnasek",53,28,293,19,89,87,242,35,501,184,99,128,99,56,15,162
"0610011F06Rik",16,4,60,1,8,14,36,4,62,28,11,19,13,4,1,26
"0610012G03Rik",15,14,117,6,23,48,76,12,233,56,44,39,55,10,10,50
"0610030E20Rik",12,7,48,6,6,11,31,12,76,38,24,19,17,10,3,25
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610037L13Rik",14,3,45,2,6,24,44,7,117,48,24,20,46,10,0,38
"0610038B21Rik;AK166159",0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0
"0610039H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610039K10Rik",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"0610040B10Rik",0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"0610040F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040J01Rik",1,0,0,0,13,0,4,0,4,4,1,4,0,0,2,5
"0610043K17Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1010001N08Rik",0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0
"1110001J03Rik",14,3,65,7,9,30,62,9,80,49,15,45,32,10,6,30
"1110002L01Rik",6,5,30,0,6,10,27,1,52,9,9,6,18,6,0,16
"1110004E09Rik",61,5,92,17,8,17,78,7,109,65,19,33,28,18,11,65
"1110004F10Rik",48,41,379,28,31,124,311,53,680,260,162,122,164,49,12,173
"1110006O24Rik",0,0,1,0,0,0,3,1,7,2,0,0,0,0,0,0
"1110008F13Rik",67,51,449,37,58,98,320,51,671,260,166,158,162,69,16,273
"1110008L16Rik",7,0,44,1,3,9,33,5,69,32,16,15,8,1,2,7
"1110008P14Rik",6,4,41,13,4,16,32,3,57,19,9,22,12,33,4,33
"1110012L19Rik",10,1,33,1,3,15,38,8,86,23,19,12,10,3,0,8
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",38,0,2,0,0,0,1,1,2,3,0,0,0,0,1,1
"1110019D14Rik",1,0,5,1,0,0,10,3,4,6,2,0,5,2,1,3
"1110020A21Rik",1,1,6,0,0,1,12,0,3,7,1,1,4,0,0,3
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",8,0,19,0,0,5,18,2,31,11,9,2,10,0,0,6
"1110032F04Rik",1,0,2,1,0,3,4,0,8,0,1,1,2,0,0,0
"1110034G24Rik",2,0,7,0,2,9,12,3,33,6,5,2,5,3,1,6
"1110036E04Rik",1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"1110037F02Rik",13,12,106,10,10,29,81,8,170,65,38,32,41,22,4,48
"1110038B12Rik",83,47,438,18,49,146,377,55,920,318,157,197,144,37,16,151
"1110038F14Rik",5,6,78,5,1,15,54,4,102,48,19,24,24,5,4,25
"1110046J04Rik",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"1110051M20Rik",14,2,26,3,1,6,28,5,49,25,13,14,12,1,1,7
"1110058D11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",16,11,89,1,15,42,87,7,132,55,32,28,44,3,1,39
"1110059G10Rik",6,3,44,2,9,19,26,6,106,23,22,21,31,7,1,30
"1110065P20Rik",3,7,55,5,8,18,41,9,100,29,18,25,21,12,4,19
"1190002N15Rik",8,8,73,5,10,28,71,12,157,77,32,27,63,1,0,18
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1190005I06Rik;Emc8;Emc8-1190005i06rik",24,19,305,10,18,64,161,20,379,130,56,103,115,26,12,129
"1190007I07Rik",11,0,58,2,11,13,54,1,80,42,18,27,19,4,4,43
"1300002E11Rik",4,0,11,2,1,5,12,1,9,6,3,4,0,0,0,2
"1300017J02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500004A13Rik;AK014401",0,0,4,0,0,0,5,0,4,2,0,0,0,0,0,0
"1500009C09Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009L16Rik",14,0,44,1,2,12,33,6,50,18,15,12,14,5,5,30
"1500011B03Rik",7,6,48,0,2,12,49,6,84,38,18,21,16,2,1,19
